condition,condition_display,n_train,task,skill_type,reached_count,completed_count,skill_success_rate
rgbd_grasp_part_colored,RGB-D+colored grasp,3,one_leg,pick,207,207,1.0
rgbd_grasp_part_colored,RGB-D+colored grasp,3,one_leg,place,99,93,0.9393939393939394
rgbd_grasp_part_colored,RGB-D+colored grasp,3,one_leg,insert,93,92,0.989247311827957
rgbd_grasp_part_colored,RGB-D+colored grasp,3,one_leg,screw,92,92,1.0
rgbd_grasp_part_colored,RGB-D+colored grasp,3,round_table,push,108,108,1.0
rgbd_grasp_part_colored,RGB-D+colored grasp,3,round_table,pick,175,151,0.8628571428571429
rgbd_grasp_part_colored,RGB-D+colored grasp,3,round_table,place,151,95,0.6291390728476821
rgbd_grasp_part_colored,RGB-D+colored grasp,3,round_table,insert,95,91,0.9578947368421052
rgbd_grasp_part_colored,RGB-D+colored grasp,3,round_table,screw,91,82,0.9010989010989011
rgbd_grasp_part_colored,RGB-D+colored grasp,3,lamp,push,108,107,0.9907407407407407
rgbd_grasp_part_colored,RGB-D+colored grasp,3,lamp,pick,140,133,0.95
rgbd_grasp_part_colored,RGB-D+colored grasp,3,lamp,place,132,78,0.5909090909090909
rgbd_grasp_part_colored,RGB-D+colored grasp,3,lamp,insert,49,49,1.0
rgbd_grasp_part_colored,RGB-D+colored grasp,3,lamp,screw,49,41,0.8367346938775511
