condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_workspace_filter,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,one_leg,32,36,0.8888888888888888,2.493706156324951,position,,,40,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 7, 'final_segment_count': 60, 'included_segment_count': 53, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,one_leg,31,36,0.8611111111111112,4.72958952423402,position,,,30,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 9, 'final_segment_count': 39, 'included_segment_count': 30, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,one_leg,30,36,0.8333333333333334,1.965234979915526,position,,,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 47, 'included_segment_count': 43, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,32,36,0.8888888888888888,22.69582749316076,position,,,204,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,one_leg,33,36,0.9166666666666666,1.6710802682648165,position,,,43,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 52, 'included_segment_count': 47, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,one_leg,32,36,0.8888888888888888,1.9745228878711951,position,,,39,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 46, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,one_leg,33,36,0.9166666666666666,3.278393006854783,position,,,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 47, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,one_leg,26,36,0.7222222222222222,4.360561393011026,position,,,33,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 12, 'final_segment_count': 49, 'included_segment_count': 37, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,one_leg,27,36,0.75,2.2535784995395938,pose,14.718009266559706,5.197180352851532,39,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 48, 'included_segment_count': 43, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,one_leg,27,36,0.75,22.741217502649263,pose,70.19092395366731,36.779402293382724,195,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,one_leg,34,36,0.9444444444444444,1.731428330934393,pose,12.398005594537489,4.211029449841891,43,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 48, 'included_segment_count': 43, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,one_leg,29,36,0.8055555555555556,2.570227151499314,pose,17.762147889430356,6.122656729385385,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 44, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,one_leg,32,36,0.8888888888888888,3.9065924160821774,pose,20.80106084672566,8.06680458542731,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 8, 'final_segment_count': 45, 'included_segment_count': 37, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,one_leg,30,36,0.8333333333333334,4.311900603518588,pose,34.06253952523323,11.124408508565232,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 13, 'final_segment_count': 50, 'included_segment_count': 37, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,one_leg,32,36,0.8888888888888888,2.1185378113510853,pose,12.729837010880862,4.6645052135272564,37,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 45, 'included_segment_count': 40, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,one_leg,33,36,0.9166666666666666,22.87541032362685,pose,72.65786110991453,37.40698254560976,208,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,one_leg,30,36,0.8333333333333334,2.027744974296487,pose,14.626708042508703,4.9530865827982264,41,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 46, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,one_leg,31,36,0.8611111111111112,2.6594669916217275,pose,17.234312150292578,6.106329421680244,38,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 43, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,one_leg,29,36,0.8055555555555556,3.42406151433781,pose,18.198190321601498,7.063699578658108,37,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 8, 'final_segment_count': 47, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,one_leg,34,36,0.9444444444444444,4.217683066864239,pose,34.92702438619038,11.203087944102316,34,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 12, 'final_segment_count': 50, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,10,36,0.2777777777777778,3.325371262901548,position,,,53,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 3, 'final_segment_count': 67, 'included_segment_count': 63, 'missing_or_invalid_target_count': 1}",saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,15,36,0.4166666666666667,11.54616604727276,position,,,240,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,12,36,0.3333333333333333,2.766220715885804,position,,,51,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 109, 'included_segment_count': 103, 'missing_or_invalid_target_count': 1}",saved_rollouts_8,8,
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,14,36,0.3888888888888889,3.2190801470569768,position,,,52,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 7, 'final_segment_count': 81, 'included_segment_count': 74, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,15,36,0.4166666666666667,4.1264144432477865,position,,,32,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 148, 'included_segment_count': 142, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,16,36,0.4444444444444444,4.925129335810852,position,,,42,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 10, 'final_segment_count': 74, 'included_segment_count': 64, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,round_table,11,36,0.3055555555555556,3.0192967590405315,position,,,46,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 3, 'final_segment_count': 65, 'included_segment_count': 62, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,14,36,0.3888888888888889,11.436847818476364,position,,,250,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,round_table,14,36,0.3888888888888889,2.9379534835131884,position,,,49,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 96, 'included_segment_count': 90, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,round_table,13,36,0.3611111111111111,2.6804046918631563,position,,,48,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 8, 'final_segment_count': 72, 'included_segment_count': 64, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,round_table,13,36,0.3611111111111111,3.4914004396765757,position,,,44,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 10, 'final_segment_count': 88, 'included_segment_count': 78, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
