condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_workspace_filter,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,round_table,17,36,0.4722222222222222,2.7434380493825645,pose,26.643116471630343,8.072061343708633,49,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 459, 'included_segment_count': 452, 'missing_or_invalid_target_count': 1}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,round_table,15,36,0.4166666666666667,3.3579381908441057,pose,40.56704067785262,11.471346326414631,34,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 66, 'included_segment_count': 60, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,round_table,14,36,0.3888888888888889,3.876003800030134,pose,41.34945074013935,12.145893948058001,44,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 78, 'included_segment_count': 73, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,round_table,14,36,0.3888888888888889,4.803101007939628,pose,44.8712842823645,13.777357864412528,42,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 11, 'final_segment_count': 112, 'included_segment_count': 101, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,15,36,0.4166666666666667,6.536193406435396,position,,,28,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 34, 'included_segment_count': 29, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,11,36,0.3055555555555556,16.081062598324063,position,,,157,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,11,36,0.3055555555555556,5.963034703973472,position,,,32,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 3, 'final_segment_count': 36, 'included_segment_count': 33, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,12,36,0.3333333333333333,6.131919834696018,position,,,37,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 43, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,13,36,0.3611111111111111,4.533433602799901,position,,,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 45, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,12,36,0.3333333333333333,6.170455497340953,position,,,27,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 7, 'final_segment_count': 41, 'included_segment_count': 34, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
