condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,skill_type,n_skill_states,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_complete,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,place,134,134,110,0.8208955223880597,11.540576854743225,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,insert,22,94,92,0.9787234042553191,1.3284171244309322,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,insert,102,102,100,0.9803921568627451,10.412396936457938,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,screw,13,92,79,0.8586956521739131,4.926580015438479,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,screw,100,100,79,0.79,25.861224064641434,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,push,23,108,106,0.9814814814814815,6.904349019981408,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,pick,37,177,166,0.9378531073446328,3.3019951426358136,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,place,25,130,110,0.8461538461538461,1.7568850139169743,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,insert,21,100,98,0.98,1.179209059539399,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,screw,13,98,84,0.8571428571428571,6.615883942842047,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,push,21,108,105,0.9722222222222222,6.422997033307825,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,pick,41,174,167,0.9597701149425287,2.230892033184073,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,place,28,131,110,0.8396946564885496,1.7622015425264783,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,insert,24,97,95,0.979381443298969,1.4496036449162863,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,screw,15,95,80,0.8421052631578947,7.755513354952609,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,push,20,108,106,0.9814814814814815,6.058210721931382,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,pick,37,175,169,0.9657142857142857,2.862953844928135,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,place,28,132,110,0.8333333333333334,4.080746514497909,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,insert,18,100,98,0.98,2.134023157427785,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,screw,10,98,80,0.8163265306122449,3.6795855353358706,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,push,17,108,102,0.9444444444444444,7.684716851175876,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,pick,31,164,152,0.926829268292683,4.7046831581981134,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,place,25,116,99,0.853448275862069,5.003649313128014,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,insert,17,94,93,0.9893617021276596,4.171338334749055,,,True,saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,screw,7,92,80,0.8695652173913043,4.668620197774594,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,push,24,108,106,0.9814814814814815,6.642395015765777,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,push,108,108,105,0.9722222222222222,12.283044460780486,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,pick,40,173,166,0.9595375722543352,2.8849564671165018,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,pick,167,167,158,0.9461077844311377,21.988328324999912,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,place,26,128,105,0.8203125,1.8292587608045938,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,place,122,122,100,0.819672131147541,10.84410839034946,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,insert,22,99,98,0.98989898989899,1.2154428964735988,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,insert,93,93,93,1.0,10.610632697144196,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,screw,13,98,81,0.826530612244898,2.772590982964766,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,screw,93,93,76,0.8172043010752689,29.148556196777758,,,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,push,23,108,106,0.9814814814814815,5.684043023672045,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,pick,41,168,155,0.9226190476190477,2.129449456769842,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,place,30,119,99,0.8319327731092437,2.3492107985616943,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,insert,25,92,91,0.9891304347826086,1.4869466334936243,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,screw,14,91,81,0.8901098901098901,5.255862712366712,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,push,21,108,106,0.9814814814814815,5.845440270114147,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,pick,42,175,168,0.96,2.2219219682044504,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,place,30,132,110,0.8333333333333334,3.1841007432230035,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,insert,22,100,99,0.99,1.2770018759523876,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,screw,12,99,89,0.898989898989899,8.544867434206655,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,push,20,108,107,0.9907407407407407,6.567810156497364,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,pick,33,167,158,0.9461077844311377,3.0375210298387296,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,place,24,122,96,0.7868852459016393,3.144376196847222,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,insert,18,90,88,0.9777777777777777,2.2379540811952467,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,screw,10,88,72,0.8181818181818182,5.098579049630786,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,push,17,108,106,0.9814814814814815,6.821589569467322,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,pick,32,171,164,0.9590643274853801,4.825505755454938,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,place,29,128,105,0.8203125,5.350961354478333,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,insert,21,99,95,0.9595959595959596,3.828026507436792,,,True,saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,screw,13,95,74,0.7789473684210526,10.231216252850238,,,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,push,24,108,100,0.9259259259259259,6.4853341758754155,52.56145829529523,16.997625834934457,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,push,108,108,105,0.9722222222222222,11.454576546087468,42.54712230121988,19.96400100633144,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,pick,38,163,153,0.9386503067484663,2.4052417090333207,20.591007517122108,6.523443212457741,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,pick,170,170,159,0.9352941176470588,21.229611232490093,77.04696807200926,36.639004846891936,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,place,28,117,97,0.8290598290598291,2.777853851452908,28.374851882114513,8.452824227875809,True,saved_rollouts_8,8,
