condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,apply_to,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,skill_state_count,tracking_complete,tracking_rollouts_per_task,summary_json,one_leg_success_rate,round_table_success_rate,lamp_success_rate,tracking_source,tracking_unavailable_reason
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,point,57,108,0.5277777777777778,17.185601068261843,position,,,583,False,36,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/2026-08-11T12-12-45.json,0.8888888888888888,0.4166666666666667,0.2777777777777778,full_evaluator_36_pre_workspace_filter,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,point,62,108,0.5740740740740741,3.0020487596943304,position,,,133,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/2026-08-04T10-36-58.json,0.9166666666666666,0.4444444444444444,0.3611111111111111,saved_rollouts_8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,point,66,108,0.6111111111111112,3.4821294575992647,position,,,127,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/2026-08-04T11-28-17.json,0.8888888888888888,0.4722222222222222,0.4722222222222222,saved_rollouts_8,
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,point,54,108,0.5,3.7936037123502957,position,,,105,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/2026-08-04T12-22-19.json,0.9166666666666666,0.3055555555555556,0.2777777777777778,saved_rollouts_8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,point,51,108,0.4722222222222222,5.704959411416071,position,,,112,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-0610_fresh-tree-11_latest_3000/2026-08-04T13-23-06.json,0.7222222222222222,0.4444444444444444,0.25,saved_rollouts_8,
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,all,55,108,0.5092592592592593,3.2246808029632383,pose,27.55297743836791,8.73527629063682,123,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-04T14-24-40.json,0.75,0.3055555555555556,0.4722222222222222,saved_rollouts_8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,all,53,108,0.49074074074074076,16.940317496629813,pose,58.538684964169654,28.64805448946374,573,False,36,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-11T13-13-15.json,0.75,0.3055555555555556,0.4166666666666667,full_evaluator_36_pre_workspace_filter,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,all,61,108,0.5648148148148148,3.2036379175152527,pose,26.109980175750138,8.42563395266528,119,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-04T15-20-07.json,0.9444444444444444,0.3333333333333333,0.4166666666666667,saved_rollouts_8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,all,60,108,0.5555555555555556,3.1915349029406554,pose,24.833914397178063,8.158317782376269,137,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-04T16-17-53.json,0.8055555555555556,0.4166666666666667,0.4444444444444444,saved_rollouts_8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,all,65,108,0.6018518518518519,4.406950661445386,pose,34.13507209594342,11.23396508063407,112,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-04T17-12-37.json,0.8888888888888888,0.5833333333333334,0.3333333333333333,saved_rollouts_8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,all,61,108,0.5648148148148148,5.463477794023175,pose,43.764076635038215,14.21629312103082,100,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_morning-glitter-1_last/2026-08-04T18-10-54.json,0.8333333333333334,0.5277777777777778,0.3333333333333333,saved_rollouts_8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,all,61,108,0.5648148148148148,3.1267778278053595,pose,27.475587161659274,8.621895260137215,124,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-04T19-07-07.json,0.8888888888888888,0.4166666666666667,0.3888888888888889,saved_rollouts_8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,all,63,108,0.5833333333333334,16.772647661293302,pose,58.526680463315394,28.477983753956376,612,False,36,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-11T14-09-24.json,0.9166666666666666,0.3888888888888889,0.4444444444444444,full_evaluator_36_pre_workspace_filter,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,all,68,108,0.6296296296296297,2.8712593208216117,pose,27.27368485557312,8.325996291936235,130,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-04T20-02-56.json,0.8333333333333334,0.4722222222222222,0.5833333333333334,saved_rollouts_8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,all,65,108,0.6018518518518519,3.76531960685611,pose,36.59260533177322,11.083840673210753,103,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-04T21-01-20.json,0.8611111111111112,0.4166666666666667,0.5277777777777778,saved_rollouts_8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,all,54,108,0.5,4.029163007923387,pose,35.80454466474149,11.190071940871682,113,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-04T22-01-30.json,0.8055555555555556,0.3888888888888889,0.3055555555555556,saved_rollouts_8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,all,68,108,0.6296296296296297,5.080884703018955,pose,44.547016288356296,13.990287960690214,110,True,8,/home/huyue/projects/robust-rearrangement-custom/logs/evaluate_model/one_leg+round_table+lamp/multi-task-rgbd-skill-low-grasp-annotation_eternal-cosmos-2_last/2026-08-04T22-52-46.json,0.9444444444444444,0.3888888888888889,0.5555555555555556,saved_rollouts_8,
