condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,round_table,place,49,41,0.8367346938775511,2.9128459596501184,28.96742317603595,8.706330594857308,12,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,round_table,place,50,44,0.88,3.648659551493395,45.31272404106844,12.71120435970708,50,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,round_table,place,56,47,0.8392857142857143,2.60782679025314,13.753997054170403,5.358626201087221,14,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,round_table,place,50,44,0.88,2.361226411571929,29.474544340858106,8.25613527974355,9,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,round_table,place,52,44,0.8461538461538461,4.275324963713275,41.95320927712117,12.665966819137509,12,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,round_table,place,46,41,0.8913043478260869,4.40489805976573,34.21555411413643,11.248008882593014,11,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,round_table,insert,41,41,1.0,1.1753087539701117,11.241271471686735,3.423563048307459,9,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,round_table,insert,44,43,0.9772727272727273,4.4066017902603765,29.698651876042348,10.346332165468846,44,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,round_table,insert,47,47,1.0,1.04224301608261,6.5085481125154905,2.343952638585708,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,round_table,insert,44,43,0.9772727272727273,1.1389098819250414,12.479897353971102,3.634889352719262,4,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,round_table,insert,44,44,1.0,2.229168455252384,25.06540052943121,7.242248561138626,7,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,round_table,insert,41,41,1.0,3.7966415552715964,44.29772206152349,12.65618596757629,9,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,round_table,screw,41,33,0.8048780487804879,2.470621217493622,21.53142727437864,6.77690667236935,7,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,round_table,screw,43,37,0.8604651162790697,16.425778772231457,52.64072488737104,26.953923749705666,43,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,round_table,screw,47,40,0.851063829787234,2.4544565294894585,49.73618901701412,12.401694332892284,6,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,round_table,screw,43,35,0.813953488372093,3.405446140471481,41.02418407622193,11.610282955715865,4,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,round_table,screw,44,37,0.8409090909090909,3.5447755257070566,33.0201895548792,10.148813436682897,7,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,round_table,screw,41,35,0.8536585365853658,5.8356494833481705,52.89038280533358,16.413726044414883,6,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,push,36,35,0.9722222222222222,7.625458849993602,73.7524428099531,22.375947411984217,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,push,36,36,1.0,13.202487108040122,52.59613193026249,23.72171349409261,36,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,push,36,36,1.0,7.312658677762224,75.75606906280669,22.46387249032356,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,push,36,36,1.0,7.743680724435436,80.08670138982578,23.761021002400593,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,push,36,36,1.0,7.108155501236042,81.08466534068644,23.325088569373328,7,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,push,36,36,1.0,7.538012598981263,84.92249307753114,24.522511214487498,7,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,pick,48,46,0.9583333333333334,2.393707248807351,18.49707020325016,6.0931212894573825,12,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,pick,50,48,0.96,14.376876474920037,50.030434660346216,24.382963406989283,50,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,pick,47,47,1.0,2.5239896257031265,20.836103677392533,6.691210361181632,12,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,pick,51,46,0.9019607843137255,4.912297340146596,16.18254294574727,8.14880592929605,10,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,pick,43,42,0.9767441860465116,3.4075289599568777,27.25681273856679,8.858891507670235,11,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,pick,49,46,0.9387755102040817,4.604561922735764,38.82509745415968,12.369581413567703,11,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,place,46,29,0.6304347826086957,2.7785983875094553,41.87813171050383,11.154224729610222,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,place,48,32,0.6666666666666666,18.66962566531689,32.57639505434568,25.184904676186026,48,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,place,47,35,0.7446808510638298,4.540994825972665,51.16783073936024,14.77456097384471,10,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,place,46,34,0.7391304347826086,4.5110740656507105,74.36706580654457,19.384487226959624,6,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,place,42,19,0.4523809523809524,5.498667490785654,62.577389339367,18.014145358659057,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,place,46,34,0.7391304347826086,7.35571271575943,64.01123938622683,20.1579605930048,8,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,insert,17,17,1.0,1.6425415136209611,29.67924193669497,7.578389900959955,5,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,insert,19,19,1.0,10.608465762732996,105.91710153758842,31.791886070250683,19,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,insert,24,24,1.0,1.6134614953300968,21.522226375616953,5.917906770453487,6,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,insert,21,21,1.0,1.671653776643315,75.28186298875039,16.728026374393394,4,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,insert,12,12,1.0,1.4904538343017955,29.953415845882105,7.481137003478217,3,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,insert,22,22,1.0,3.877830638893779,34.15920723140003,10.709672085173782,5,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,screw,17,15,0.8823529411764706,9.476475746568783,27.50883162323926,14.978242071216634,4,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,screw,19,17,0.8947368421052632,19.692407784895995,74.33312820991549,34.55903342687909,19,False
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,screw,23,20,0.8695652173913043,2.954460294666335,35.869458023323446,10.128351899331024,4,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,screw,21,21,1.0,9.257598879475708,61.66873901472894,21.59134668242149,3,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,screw,12,11,0.9166666666666666,7.4534560553831035,31.769237629593004,13.807303581301705,3,True
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,screw,22,21,0.9545454545454546,10.704908820576668,41.213182648040316,18.94754535018473,3,True
